host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,number_of_reviews,number_of_stays,review_duration_days,host_duration_days,price_value,host_response_power,host_commitment,bedroom_quality,space_per_guest,essential_amenities,review_consistency,instant_bookable,host_identity_verified,room_type,cancellation_policy,review_scores_rating
0.0,0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0,3321.0,35.0,0.0,1107.0,0.6666666666666666,1.8181818181818181,2,0.012345679012345678,0,1,1,1,80.0
100.0,0,14.0,4.0,1.0,1.0,2.0,99.0,198.0,1015,3682.0,20.0,270.805020110221,18.502512562814072,0.6666666666666666,1.9047619047619047,2,1.1123595505617978,1,0,0,3,88.0
100.0,1,2.0,4.0,2.0,2.0,1.0,14.0,28.0,92,2503.0,15.0,109.86122886681098,86.3103448275862,0.8,3.6363636363636362,2,0.14285714285714285,1,0,1,0,97.0
100.0,0,1.0,4.0,1.0,1.0,2.0,3.0,6.0,74,3523.0,17.25,69.31471805599453,503.2857142857143,0.6666666666666666,1.9047619047619047,2,0.0297029702970297,0,1,0,1,100.0
100.0,1,3.0,2.0,1.5,1.0,1.0,18.0,36.0,382,2533.0,75.0,138.62943611198907,68.45945945945945,0.5,1.8181818181818181,3,0.1782178217821782,1,0,1,0,100.0
100.0,1,1.0,1.0,1.0,1.0,1.0,16.0,32.0,127,2291.0,55.0,69.31471805599453,69.42424242424242,0.6666666666666666,0.9090909090909091,2,0.16161616161616163,0,0,1,3,98.0
100.0,1,1.0,2.0,1.0,1.0,1.0,19.0,38.0,727,3281.0,100.0,69.31471805599453,84.12820512820512,0.6666666666666666,1.8181818181818181,3,0.18811881188118812,0,0,0,0,100.0
100.0,1,1.0,2.0,1.0,1.0,1.0,109.0,218.0,1532,3705.0,47.5,69.31471805599453,16.91780821917808,0.6666666666666666,1.8181818181818181,2,1.1122448979591837,0,1,1,3,97.0
100.0,1,17.0,10.0,2.5,1.0,1.0,1.0,2.0,0,2466.0,1.9,289.03717578961647,822.0,0.3333333333333333,9.09090909090909,3,0.009900990099009901,0,0,2,3,100.0
0.0,0,1.0,5.0,2.0,2.0,2.0,9.0,18.0,1118,3679.0,25.4,0.0,193.6315789473684,0.8,2.380952380952381,3,0.09278350515463918,0,1,0,3,96.0
100.0,0,5.0,4.0,2.0,2.0,2.0,9.0,18.0,217,4722.0,33.75,179.1759469228055,248.52631578947367,0.8,1.9047619047619047,3,0.1,0,1,0,0,89.0
100.0,0,21.0,2.0,0.0,1.0,1.0,26.0,52.0,1029,4084.0,44.5,309.1042453358316,77.05660377358491,2.0,1.8181818181818181,0,0.29213483146067415,0,0,1,3,88.0
100.0,0,1.0,6.0,1.0,2.0,2.0,49.0,98.0,770,3959.0,29.0,69.31471805599453,39.98989898989899,1.3333333333333333,2.857142857142857,3,0.5,1,0,0,3,97.0
100.0,1,1.0,4.0,1.0,1.0,1.0,103.0,206.0,1556,3746.0,22.25,69.31471805599453,18.096618357487923,0.6666666666666666,3.6363636363636362,3,1.03,0,1,0,3,99.0
100.0,0,1.0,4.0,1.0,1.0,2.0,23.0,46.0,564,5132.0,29.5,69.31471805599453,109.19148936170212,0.6666666666666666,1.9047619047619047,3,0.24468085106382978,0,0,0,1,93.0
100.0,1,1.0,4.0,1.0,1.0,1.0,122.5,245.0,1155,3656.0,21.25,69.31471805599453,14.861788617886178,0.6666666666666666,3.6363636363636362,3,1.2373737373737375,1,1,0,1,98.0
100.0,0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,0,2598.0,47.5,69.31471805599453,866.0,0.6666666666666666,1.8181818181818181,3,0.01639344262295082,1,0,0,3,60.0
100.0,0,8.0,8.0,2.0,3.0,6.0,3.0,6.0,96,4471.0,58.4375,219.72245773362195,638.7142857142857,1.2,1.3114754098360657,3,0.0297029702970297,0,1,0,3,100.0
100.0,0,5.0,2.0,1.5,1.0,1.0,42.0,84.0,425,3637.0,16.0,179.1759469228055,42.78823529411765,0.5,1.8181818181818181,1,0.4329896907216495,0,0,1,0,96.0
0.0,0,1.0,1.0,1.0,1.0,1.0,9.0,18.0,157,2597.0,70.0,0.0,136.68421052631578,0.6666666666666666,0.9090909090909091,3,0.09090909090909091,0,0,1,3,98.0
100.0,0,1.0,2.0,1.0,0.0,1.0,8.0,16.0,78,2220.0,48.0,69.31471805599453,130.58823529411765,0.0,1.8181818181818181,2,0.07920792079207921,1,0,0,0,100.0
100.0,0,21.0,5.0,2.0,2.0,2.0,3.0,6.0,375,3013.0,57.6,309.1042453358316,430.42857142857144,0.8,2.380952380952381,2,0.03409090909090909,1,0,0,5,87.0
100.0,1,11.0,2.0,1.0,0.0,1.0,109.0,218.0,1133,3668.0,49.5,248.49066497880003,16.748858447488583,0.0,1.8181818181818181,2,1.1237113402061856,1,1,0,1,96.0
100.0,1,21.0,6.0,2.0,2.0,3.0,7.0,14.0,697,3242.0,54.166666666666664,309.1042453358316,216.13333333333333,0.8,1.9354838709677418,3,0.07142857142857142,1,1,0,5,97.0
0.0,0,1.0,3.0,1.0,1.0,1.0,20.0,40.0,1109,3899.0,51.666666666666664,0.0,95.09756097560975,0.6666666666666666,2.727272727272727,3,0.20202020202020202,0,1,0,1,98.0
100.0,0,7.0,5.0,2.0,2.0,2.0,122.5,245.0,2621,4776.0,33.0,207.94415416798358,19.414634146341463,0.8,2.380952380952381,3,1.3172043010752688,1,0,0,3,92.0
100.0,0,1.0,10.0,3.5,3.5,5.0,5.0,10.0,195,3189.0,29.9,69.31471805599453,289.90909090909093,0.875,1.9607843137254903,3,0.04950495049504951,0,1,0,3,100.0
100.0,0,21.0,3.0,1.0,0.0,2.0,17.0,34.0,342,3842.0,25.0,309.1042453358316,109.77142857142857,0.0,1.4285714285714286,3,0.19101123595505617,1,0,0,3,88.0
100.0,0,11.0,6.0,2.0,1.0,1.0,6.0,12.0,194,3212.0,16.666666666666668,248.49066497880003,247.07692307692307,0.4,5.454545454545454,3,0.0594059405940594,0,1,2,3,100.0
0.0,0,1.0,8.0,2.0,1.0,3.0,5.0,10.0,182,4167.0,50.0,0.0,378.8181818181818,0.4,2.5806451612903225,3,0.04950495049504951,1,1,0,0,100.0
100.0,0,1.0,2.0,1.0,1.0,1.0,5.0,10.0,400,4708.0,60.0,69.31471805599453,428.0,0.6666666666666666,1.8181818181818181,3,0.04950495049504951,0,1,0,3,100.0
100.0,1,1.0,1.0,1.0,1.0,1.0,122.0,244.0,2599,4840.0,70.0,69.31471805599453,19.755102040816325,0.6666666666666666,0.9090909090909091,1,1.2448979591836735,0,0,0,0,97.0
100.0,1,1.0,10.0,2.5,3.0,6.0,18.0,36.0,226,2887.0,35.0,69.31471805599453,78.02702702702703,1.0,1.639344262295082,2,0.1836734693877551,1,0,0,3,97.0
0.0,0,1.0,2.0,1.0,1.0,1.0,2.0,4.0,14,3331.0,42.5,0.0,666.2,0.6666666666666666,1.8181818181818181,3,0.019801980198019802,1,0,0,1,100.0
100.0,1,1.0,6.0,1.0,2.0,2.0,76.0,152.0,1860,4038.0,31.666666666666668,69.31471805599453,26.392156862745097,1.3333333333333333,2.857142857142857,1,0.7676767676767676,0,1,0,1,98.0
100.0,1,3.0,7.0,3.0,3.0,3.0,122.5,245.0,1112,3529.0,34.142857142857146,138.62943611198907,14.345528455284553,0.8571428571428571,2.258064516129032,3,1.2373737373737375,1,1,0,1,98.0
100.0,1,3.0,4.0,1.0,1.0,2.0,122.5,245.0,840,3320.0,16.0,138.62943611198907,13.495934959349594,0.6666666666666666,1.9047619047619047,3,1.25,0,0,1,3,97.0
100.0,1,2.0,2.0,1.0,1.0,1.0,79.0,158.0,761,2905.0,44.5,109.86122886681098,18.270440251572328,0.6666666666666666,1.8181818181818181,2,0.7821782178217822,1,1,1,1,100.0
100.0,1,2.0,2.0,1.0,1.0,1.0,20.0,40.0,373,2995.0,22.5,109.86122886681098,73.04878048780488,0.6666666666666666,1.8181818181818181,2,0.20408163265306123,0,0,1,1,97.0
100.0,1,2.0,2.0,1.0,1.0,1.0,12.0,24.0,81,3923.0,64.5,109.86122886681098,156.92,0.6666666666666666,1.8181818181818181,3,0.1276595744680851,1,1,0,3,93.0
100.0,0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,12,3577.0,50.0,109.86122886681098,715.4,0.6666666666666666,1.8181818181818181,3,0.019801980198019802,0,0,0,1,100.0
100.0,1,21.0,5.0,2.0,2.0,2.0,12.0,24.0,968,3242.0,79.0,309.1042453358316,129.68,0.8,2.380952380952381,2,0.1188118811881188,1,1,0,5,100.0
100.0,0,21.0,6.0,1.0,2.0,2.0,6.0,12.0,74,3642.0,24.833333333333332,309.1042453358316,280.15384615384613,1.3333333333333333,2.857142857142857,3,0.06593406593406594,1,1,0,5,90.0
