,host_listings_count,accommodates,beds,cleaning_fee,minimum_nights,maximum_nights,review_scores_rating,host_about_cleaned,house_rules_cleaned,notes_cleaned,cancellation_policy_cleaned,description_cleaned,interaction_cleaned,access_cleaned,room_type_cleaned,property_type_cleaned,host_response_time
614,2.0,2.0,1.0,20.0,3.0,30.0,98.0,0.0009746307716834081,0.0009732352946292466,0.0009852023602875488,1,0.0009494621099661096,0.0009918448273864074,0.0009698998298550434,1,10,1
615,1.0,2.0,1.0,20.0,1.0,5.0,98.0,0.0009797283165101154,0.0009906454574410614,0.0009923649172911963,1,0.0009355801579432271,0.0009933147895411026,0.0009872060263785532,1,9,1
616,1.0,2.0,1.0,20.0,1.0,6.0,100.0,0.0009915574411340164,0.0009748072337800291,0.0009913784476453524,1,0.0009585022024866489,0.0009861530378778127,0.0009875542871783994,0,9,1
617,1.0,6.0,2.0,100.0,1.0,2769.0,95.0,0.0009606025507609523,0.0009887681904235679,0.000995213662122393,1,0.0009427547138215021,0.0009933588709182194,0.000967476460507513,0,9,1
618,0.0,4.0,1.0,60.0,2.0,1125.0,100.0,0.0009903600425126406,0.000998074416733901,0.0009879437101576564,1,0.0009285537189023108,0.0009742543804664716,0.0009980011850380705,0,9,1
619,2.0,3.0,2.0,69.0,1.0,1125.0,100.0,0.0009713450364027657,0.0009651292596879051,0.0009754065319457853,1,0.0009408959804300818,0.0009943822646727475,0.0009964707641043058,0,9,1
620,21.0,6.0,5.0,120.0,1.0,180.0,98.0,0.0009847383094374062,0.000936630893040769,0.0009573571887365574,1,0.0009438138415997832,0.0009812822672709228,0.000996099846886287,0,9,1
621,1.0,8.0,4.0,250.0,1.0,1124.0,98.0,0.0009903600425126406,0.0009726496041101929,0.000988966162677792,1,0.0009573177333514171,0.0009980487930978243,0.0009980011850380705,0,9,1
622,4.0,10.0,3.0,200.0,1.0,60.0,99.0,0.0009855321838279647,0.0009980006834255744,0.0009905019754371342,1,0.0009335480657475779,0.0009970366089184406,0.0009980597179062958,0,9,1
623,2.0,3.0,2.0,0.0,2.0,3.0,100.0,0.0009902025947867198,0.0009810555705434382,0.0009916149399093153,1,0.0009562245184955097,0.0009943971918266702,0.0009925975083835857,0,9,1
624,3.0,3.0,2.0,65.0,3.0,1125.0,94.0,0.0009776951683781825,0.0009980006834255744,0.0009896115764557861,1,0.00094781078108374,0.0009873248587993963,0.000981474796587182,0,9,1
625,1.0,12.0,6.0,175.0,1.0,5.0,95.0,0.000977740075079493,0.0009520794268267024,0.0009737092394993183,1,0.0009414467091983547,0.0009674572216407101,0.0009589006781764793,0,10,1
626,2.0,4.0,1.0,45.0,2.0,1125.0,97.0,0.0009861729954943675,0.0009971344848662867,0.0009674132745233964,1,0.0009406772389028441,0.0009981538042294212,0.0009943768396136108,0,9,1
627,3.0,2.0,1.0,20.0,1.0,6.0,94.0,0.0009874997779281702,0.0009523354690572438,0.0009903100894272756,1,0.0009543257188174115,0.0009951057918656284,0.0009943245457668518,1,10,1
628,21.0,8.0,4.0,280.0,1.0,1125.0,90.0,0.00097218406936068,0.0009408927955427733,0.0009885052882857204,1,0.0009411741155783609,0.000998000243446929,0.0009980011850380705,0,9,1
629,1.0,4.0,2.0,100.0,6.0,1125.0,99.0,0.0009951494619735114,0.000994897053401927,0.0009890282081958578,1,0.0009453306495882428,0.0009945878973628276,0.0009915534649228071,0,9,2
630,20.0,9.0,6.0,150.0,2.0,1125.0,95.0,0.000960865245004308,0.0009565563866544746,0.0009965058452668556,1,0.0009516845274231705,0.00097375129983908,0.000988975402829265,0,9,1
631,16.0,2.0,2.0,45.0,2.0,25.0,96.0,0.00098755546199366,0.0009923170369144129,0.0009952665902353331,1,0.0009621057058623183,0.000998000243446929,0.0009827339611426641,0,9,1
632,1.0,2.0,1.0,0.0,5.0,1125.0,93.0,0.000999,0.0009905785500988458,0.0009880749162236562,1,0.000937779801921387,0.0009880817677216803,0.0009850194674021497,0,9,1
633,11.0,6.0,3.0,150.0,3.0,300.0,94.0,0.0009907268420464238,0.000991660185070856,0.000991444314383619,1,0.0009553051284350793,0.000998000243446929,0.0009918331032543505,0,9,1
